molecule_chembl_id,pIC50,smile,ROMol
CHEMBL283088,6.7,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN1CCN(C)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7120>
CHEMBL24828,6.7,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7190>
CHEMBL273789,6.58,CS(=O)(=O)CCN(CCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)C(=O)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7200>
CHEMBL268868,6.52,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC72E0>
CHEMBL25425,6.52,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCC1CCN(C)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC73C0>
CHEMBL416191,6.52,COc1cc2c(Nc3c(F)cc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7040>
CHEMBL25579,6.52,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN(C)c1ccncc1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7270>
CHEMBL25610,6.4,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7430>
CHEMBL281872,6.4,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCn1ccnn1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC74A0>
CHEMBL279459,6.35,COc1cc2c(Nc3c(F)cc(Br)cc3F)ncnc2cc1OCC1CCNCC1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7510>
CHEMBL422758,6.35,COc1cc2c(Nc3c(F)cc(Cl)cc3F)ncnc2cc1OCC1CCN(C)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7660>
CHEMBL25450,6.3,COc1cc2c(Nc3c(F)cc(Cl)cc3F)ncnc2cc1OCC1CCNCC1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC70B0>
CHEMBL428534,6.3,COc1cc2c(Nc3ccc(C)cc3F)ncnc2cc1OCC1CCNCC1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7350>
CHEMBL12131,6.25,Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC76D0>
CHEMBL7939,6.16,O=C1NC(=O)c2cc(Nc3ccc(F)cc3)c(Nc3ccc(F)cc3)cc21,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7740>
CHEMBL6246,6.16,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC77B0>
