molecule_chembl_id,pIC50,smile,ROMol
CHEMBL35820,11.22,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,<rdkit.Chem.rdchem.Mol object at 0x000001D6965F7E40>
CHEMBL66031,11.1,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,<rdkit.Chem.rdchem.Mol object at 0x000001D6965F7EB0>
CHEMBL53753,11.1,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F270>
CHEMBL176582,11.0,Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F2E0>
CHEMBL29197,10.6,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F350>
CHEMBL174426,10.6,Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F3C0>
CHEMBL1243316,10.52,C#CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F430>
CHEMBL3613702,10.43,C=CC(=O)Nc1ccc2ncnc(Nc3cc(F)c(Cl)c(Cl)c3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F580>
CHEMBL363815,10.43,C=CC(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F5F0>
CHEMBL4100860,10.15,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(CCCO)nc3-c3ccc(F)cc3)ccn2)c1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F660>
CHEMBL275762,10.15,O=C(CCl)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F6D0>
CHEMBL327307,10.14,COc1cc2ncnc(Nc3ccc(Br)c(Br)c3)c2cc1OC,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F740>
CHEMBL53428,10.05,CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F7B0>
CHEMBL4760328,10.0,CCOc1ccccc1-c1cc2c(N[C@H](CCO)c3ccccc3)ncnc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F820>
CHEMBL55729,10.0,Nc1ccc2cncnc2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F890>
CHEMBL4784258,10.0,COc1cc(CN(C)CCN(C)C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F900>
CHEMBL4748367,10.0,CN(C)CCNCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)cc1F,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F970>
CHEMBL4759003,10.0,COc1cc(CNCCN(C)C)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661F9E0>
CHEMBL4742081,10.0,COc1cc(CNCCN2CCNCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FA50>
CHEMBL4778248,10.0,COc1cc(CNCCN2CCCCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FAC0>
CHEMBL420624,10.0,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FB30>
CHEMBL4787951,10.0,COc1cc(CNCCN2CCOCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FBA0>
CHEMBL190094,9.96,CN(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FC10>
CHEMBL3930620,9.92,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FC80>
CHEMBL328216,9.92,Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FCF0>
CHEMBL193160,9.92,O=C(CCl)Nc1ccc2ncnc(Nc3cccc(I)c3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FD60>
CHEMBL51853,9.89,Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FDD0>
CHEMBL3892310,9.89,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC1C2COCC21,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FE40>
CHEMBL54400,9.89,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FEB0>
CHEMBL3883534,9.85,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FF20>
CHEMBL417478,9.8,C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FF90>
CHEMBL4792967,9.77,C=CC(=O)Nc1cc(Nc2ncc(C(F)(F)F)c(-c3cn(C4COC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001D696635040>
CHEMBL418967,9.77,CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC,<rdkit.Chem.rdchem.Mol object at 0x000001D6966350B0>
CHEMBL93032,9.77,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,<rdkit.Chem.rdchem.Mol object at 0x000001D696635120>
CHEMBL592617,9.77,N#CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635190>
CHEMBL2031302,9.74,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC,<rdkit.Chem.rdchem.Mol object at 0x000001D696635200>
CHEMBL3910697,9.74,C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(Cl)cc3)nn21,<rdkit.Chem.rdchem.Mol object at 0x000001D696635270>
CHEMBL4761468,9.74,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001D6966352E0>
CHEMBL166093,9.74,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635350>
CHEMBL166154,9.72,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001D6966353C0>
CHEMBL165864,9.72,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635430>
CHEMBL4776396,9.7,CCOc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x000001D6966354A0>
CHEMBL4175024,9.7,OCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635510>
CHEMBL4164805,9.7,COc1cc(CO)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635580>
CHEMBL3753235,9.7,C=CC(=O)Nc1cccc(-n2c(=O)c(-c3ccccc3)cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,<rdkit.Chem.rdchem.Mol object at 0x000001D6966355F0>
CHEMBL4747958,9.7,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(S(=O)(=O)N(C)C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001D696635660>
CHEMBL437879,9.68,COc1cc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2cc1OC,<rdkit.Chem.rdchem.Mol object at 0x000001D6966356D0>
CHEMBL161956,9.66,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635740>
CHEMBL4516232,9.66,Cn1ncc([N+](=O)[O-])c1C[N+](C)(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1.[Br-],<rdkit.Chem.rdchem.Mol object at 0x000001D6966357B0>
CHEMBL4439982,9.66,C[N+](C)(C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)Cc1ccc([N+](=O)[O-])cc1.[Br-],<rdkit.Chem.rdchem.Mol object at 0x000001D696635820>
CHEMBL4527121,9.66,C[N+](C)(C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)Cc1ccccc1[N+](=O)[O-].[Br-],<rdkit.Chem.rdchem.Mol object at 0x000001D696635890>
CHEMBL4473277,9.66,Cn1cc([N+](=O)[O-])nc1C[N+](C)(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1.[Br-],<rdkit.Chem.rdchem.Mol object at 0x000001D696635900>
CHEMBL4540138,9.66,Cn1c(C[N+](C)(C)C/C=C/C(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)ccc1[N+](=O)[O-].[Br-],<rdkit.Chem.rdchem.Mol object at 0x000001D696635970>
CHEMBL4560430,9.66,Cn1cnc([N+](=O)[O-])c1C[N+](C)(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1.[Br-],<rdkit.Chem.rdchem.Mol object at 0x000001D6966359E0>
CHEMBL4851176,9.64,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCN/C(=N\C#N)Nc4ccncc4)cc23)c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635A50>
CHEMBL2031300,9.64,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635AC0>
CHEMBL127041,9.62,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635B30>
CHEMBL316064,9.62,COc1cc2ncnc(Nc3cccc(C(F)(F)F)c3)c2cc1OC,<rdkit.Chem.rdchem.Mol object at 0x000001D696635BA0>
CHEMBL4862351,9.61,CCOC(=O)c1ccccc1Nc1nc(Nc2ccc(OCC(=O)N3CCOCC3)cc2)ncc1Cl,<rdkit.Chem.rdchem.Mol object at 0x000001D696635C10>
CHEMBL328955,9.6,Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635C80>
CHEMBL52913,9.6,C=CC(=O)Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635CF0>
CHEMBL53426,9.6,Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635D60>
CHEMBL4796010,9.59,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1[S+]([O-])CCN(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001D696635DD0>
CHEMBL3360608,9.59,C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635E40>
CHEMBL2031298,9.57,O=C(CCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635EB0>
CHEMBL3929484,9.57,O=C(CCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO,<rdkit.Chem.rdchem.Mol object at 0x000001D696635F20>
CHEMBL2031303,9.57,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001D696635F90>
CHEMBL152905,9.57,Nc1ccc2sc3c(Nc4cccc(Br)c4)ncnc3c2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696637040>
CHEMBL128468,9.55,O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001D6966370B0>
