,molecule_chembl_id,pchembl_value,smiles,ROMol,MW,HBA,HBD,LogP,rule_of_five_conform
25,CHEMBL3410090,9.35,CC(C)Oc1nc(-c2ccnc(NC(=O)C3CC3)c2)sc1C(N)=O,<rdkit.Chem.rdchem.Mol object at 0x0000021AD33D3D60>,346.109961436,6,2,2.4396999999999998,yes
26,CHEMBL2182002,9.34,Cc1cc(S(=O)(=O)N2CCN(C)CC2)ccc1-c1cnc(N)c(C(=O)Nc2cccnc2)n1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD33D3EB0>,467.17395866000015,8,2,1.6176199999999992,yes
27,CHEMBL3091541,9.33,COc1cc(F)ccc1[C@H]1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCO1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD33D3A50>,397.15501772,8,0,1.9628999999999992,yes
28,CHEMBL2177174,9.32,CN(C)Cc1ccncc1NC(=O)c1nc(-c2ccc(S(=O)(=O)N3CCCC3)cc2)cnc1N,<rdkit.Chem.rdchem.Mol object at 0x0000021AD33D9EB0>,481.18960872400004,8,2,2.2192000000000003,yes
29,CHEMBL4095848,9.3,C[C@@H]1CN(c2cccc(F)c2)CCN1c1nc(-c2ccncn2)cc(=O)n1C,<rdkit.Chem.rdchem.Mol object at 0x0000021AD33D93C0>,380.17608751200004,7,0,2.0915,yes
30,CHEMBL489833,9.29,Cn1cc(C2=C(c3coc4cc(CO)ccc34)C(=O)NC2=O)c2cc(Br)ccc21,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337BC80>,450.02151906,5,2,3.746500000000002,yes
31,CHEMBL4468662,9.29,COc1ccc(-c2c[nH]c3ncc(/C=C/C(=O)NCc4ccncc4)cc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337BC10>,384.15862588,4,2,3.9631000000000016,yes
32,CHEMBL2386093,9.28,O=C1NC(=O)C(c2cn3c4c(cc(F)cc24)CN(C(=O)N2CCC(N4CCCCC4)CC2)CC3)=C1c1coc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337BB30>,595.259482788,6,1,4.979700000000005,yes
33,CHEMBL1080901,9.25,Nc1nc(NCCNc2ncc(-c3ncc[nH]3)c(-c3ccc(Cl)cc3Cl)n2)ccc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x0000021AD337BBA0>,485.08822614400003,9,4,4.249900000000001,yes
34,CHEMBL1940976,9.24,C[C@H]1COc2c(NCCNc3ccccn3)c(F)c(N)c3c(=O)c(C#N)cn1c23,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337BA50>,394.15535206800007,8,3,2.4668799999999997,yes
35,CHEMBL2386091,9.23,O=C1NC(=O)C(c2cn3c4c(cccc24)CN(C(=O)Cc2ccncc2)CC3)=C1c1coc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337BAC0>,502.164105184,6,1,3.9346000000000023,yes
36,CHEMBL1082152,9.22,Cn1cc(C2=C(c3cccc(NCC(O)CO)c3)C(=O)NC2=O)c2cc(F)ccc21,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337B970>,409.14378433999997,6,4,1.6496999999999997,yes
37,CHEMBL3185148,9.22,Nc1nc(NCCNc2ncc(-n3ccnc3)c(-c3ccc(Cl)cc3Cl)n2)ccc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x0000021AD337B9E0>,485.08822614400003,10,3,4.045500000000001,yes
38,CHEMBL1940990,9.22,C[C@H]1COc2c(NCCCc3ccccn3)c(F)c(N)c3c(=O)c(C#N)cn1c23,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337B890>,393.1601031,7,2,2.9875800000000003,yes
39,CHEMBL3091544,9.19,Cn1c(N2CCO[C@@H](c3c(F)cccc3Cl)C2)nc(-c2ccncn2)cc1=O,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337B900>,401.10548068400004,7,0,2.6077000000000004,yes
40,CHEMBL2177165,9.17,Nc1ncc(-c2ccc(S(=O)(=O)N3CCOCC3)cc2)nc1C(=O)Nc1cccnc1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337B740>,440.1266741200001,8,2,1.393999999999999,yes
41,CHEMBL270265,9.15,CCCC1=C(c2nnc(C)o2)C(c2cccc(C#N)c2Br)c2c[nH]nc2N1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337B820>,424.06472126400007,6,2,4.504100000000003,yes
42,CHEMBL4802108,9.14,CCCn1cnc(C2C=C(C3=C(c4noc5ccccc45)C(=O)NC3=O)c3ccccc32)c1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337B190>,436.15354049999996,6,1,4.073400000000002,yes
43,CHEMBL490636,9.14,COCc1cccc2c(C3=C(c4coc5cc(CO)ccc45)C(=O)NC3=O)cn(C)c12,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337B0B0>,416.13722174,6,2,3.1304000000000025,yes
44,CHEMBL4084151,9.14,O=C1NC(=O)C(c2cn(CCC3N=CC=N3)c3ccccc23)=C1c1noc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337B270>,423.133139404,7,1,3.2211000000000007,yes
45,CHEMBL4758595,9.11,COc1ccc(CC(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)N4C[C@@H](C#N)[C@@H]4C)C3)[nH]n2)cn1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337B120>,438.2015533120001,7,2,2.6110800000000003,yes
46,CHEMBL260417,9.1,O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)c(Br)cc12)C1CC1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337B350>,372.022187756,4,3,3.4415000000000004,yes
47,CHEMBL4856177,9.1,CC(C)c1c2cc(-c3ccnc(Nc4ccc5c(N6CCN(C)CC6)ccnc5c4)n3)ccc2nn1C,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337B200>,492.27499302400014,8,1,5.197300000000004,yes
48,CHEMBL1080902,9.1,COc1ccc(C2=NNC(=O)/C2=N\Nc2cccc(OC)c2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337B4A0>,324.12224037199996,6,2,2.0058,yes
49,CHEMBL4065818,9.1,COc1ccccc1N1CCN(c2nc(-c3ccncn3)cc(=O)n2C)[C@H](C)C1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337B2E0>,392.196074008,8,0,1.9609999999999996,yes
50,CHEMBL260138,9.1,N#CCCc1ccc2c(c1)-c1[nH]c3ccc([N+](=O)[O-])cc3c1CC(=O)N2,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337B5F0>,346.10659030799997,4,2,3.693880000000002,yes
51,CHEMBL3410111,9.08,CC(C)Oc1nc(-c2ccnc(NC(=O)C3CC3)c2)ncc1C(N)=O,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337B3C0>,341.148789468,6,2,1.7731999999999997,yes
52,CHEMBL1940981,9.07,C[C@H]1COc2c(NCCCn3cccn3)c(F)c(N)c3c(=O)c(C#N)cn1c23,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337B6D0>,382.15535206800007,8,2,2.24658,yes
53,CHEMBL3091540,9.06,COc1ccccc1[C@H]1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCO1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337B510>,379.164439532,8,0,1.8237999999999996,yes
54,CHEMBL2386272,9.06,Cn1cc(C2=C(c3cnc4ccccn34)C(=O)NC2=O)c2cc(Br)ccc21,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337BCF0>,420.022187756,5,1,3.1557000000000013,yes
55,CHEMBL5178166,9.05,O=C1NC(=O)C(c2cn3c4c(cc(F)cc24)CN(C(=O)N2CCCCC2)CC3)=C1c1cn2ccccc2n1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337BD60>,512.19721688,6,1,3.416800000000002,yes
56,CHEMBL522590,9.02,Cn1cc(C2=C(c3coc4cc(CO)ccc34)C(=O)NC2=O)c2cc(F)c(Cl)cc21,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337BDD0>,424.062612828,5,2,3.776500000000002,yes
57,CHEMBL4764153,9.02,COc1ccc(CC(=O)Nc2cc([C@@H]3CC[C@H](OC(=O)N4CCC4(C)C)C3)[nH]n2)cn1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337BE40>,427.2219544080001,6,2,3.251500000000002,yes
58,CHEMBL3943813,9.0,Nc1ncc(-c2ccccc2)nc1C(=O)Nc1ccccc1N1CCC(N)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337BEB0>,388.20115938800006,6,3,2.9056000000000006,yes
59,CHEMBL495727,9.0,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337BF20>,381.1913229760001,5,4,2.0690999999999997,yes
60,CHEMBL1957949,9.0,CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccc(O)c3[nH]c(-c4ccc(F)cc4)nc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD337BF90>,468.12675437200005,5,4,3.4186000000000014,yes
61,CHEMBL2177177,9.0,CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4ncns4)n3)cc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD21A9040>,460.10997850000007,10,2,0.7656999999999993,yes
62,CHEMBL1082151,9.0,Cn1cc(C2=C(c3cccc(NCCCO)c3)C(=O)NC2=O)c2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x0000021AD21A90B0>,375.15829153199996,5,3,2.5398000000000005,yes
63,CHEMBL261129,9.0,CN1CCC(C(=O)Nc2n[nH]c3nc(-c4ccc(O)cc4)c(Br)cc23)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD21A9120>,429.08003698000005,5,3,3.3733000000000013,yes
64,CHEMBL260664,9.0,O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)c(Cl)cc12)C1CC1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD21A9190>,328.072703336,4,3,3.3324000000000007,yes
65,CHEMBL2048663,9.0,CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4ccoc4)nc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD21A9200>,439.1314251520001,6,3,2.952000000000001,yes
66,CHEMBL1940986,9.0,C[C@H]1COc2c(NCCCn3ccnc3)c(F)c(N)c3c(=O)c(C#N)cn1c23,<rdkit.Chem.rdchem.Mol object at 0x0000021AD21A9270>,382.15535206800007,8,2,2.24658,yes
67,CHEMBL3410089,8.96,COc1nc(-c2ccnc(NC(=O)C3CC3)c2)sc1C(N)=O,<rdkit.Chem.rdchem.Mol object at 0x0000021AD21A92E0>,318.078661308,6,2,1.6610999999999998,yes
68,CHEMBL4165510,8.96,O=CN1Cc2cc(F)cc3c(C4=C(c5cnc6ccccn56)C(=O)NC4=O)cn(c23)CC1N1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD21A9350>,512.19721688,7,1,2.7793,yes
69,CHEMBL4067532,8.96,Cn1c(N2CCNC(c3cccc(Cl)c3)C2)nc(-c2ccncn2)cc1=O,<rdkit.Chem.rdchem.Mol object at 0x0000021AD21A93C0>,382.13088690800004,7,1,2.0416,yes
70,CHEMBL2177155,8.96,CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cccnc4)n3)c(C(F)(F)F)c2)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD21A9430>,521.1456932240001,8,2,2.3279999999999994,yes
71,CHEMBL362558,8.96,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2,<rdkit.Chem.rdchem.Mol object at 0x0000021AD21A94A0>,512.19721688,6,1,3.416800000000002,yes
72,CHEMBL4077048,8.92,C[C@@H]1CN(c2ccc(Cl)cc2)CCN1c1nc(-c2ccncn2)cc(=O)n1C,<rdkit.Chem.rdchem.Mol object at 0x0000021AD21A9510>,396.14653697200004,7,0,2.6057999999999995,yes
73,CHEMBL490842,8.92,Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2cccc(CCC(=O)O)c21,<rdkit.Chem.rdchem.Mol object at 0x0000021AD21A9580>,414.121571676,5,2,3.5089000000000006,yes
74,CHEMBL4105346,8.92,Cn1c(N2CCN[C@@H](c3ccc(Cl)cc3)C2)nc(-c2ccncn2)cc1=O,<rdkit.Chem.rdchem.Mol object at 0x0000021AD21A95F0>,382.13088690800004,7,1,2.0416,yes
75,CHEMBL4744945,8.9,COc1ccc(CC(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)N4CCC4(C)C)C3)[nH]n2)cn1,<rdkit.Chem.rdchem.Mol object at 0x0000021AD21A9660>,427.2219544080001,6,2,3.251500000000002,yes
76,CHEMBL4164416,8.89,CC(C)OC1Cn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)CN1C=O,<rdkit.Chem.rdchem.Mol object at 0x0000021AD21A96D0>,469.175004216,7,1,2.579300000000001,yes
