,molecule_chembl_id,pIC50,smile,ROMol,MW,HBA,HBD,LogP,rule_of_five_conform
23,CHEMBL3930620,9.92,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FC80>,483.1585788760001,8,3,4.880300000000003,yes
24,CHEMBL328216,9.92,Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FCF0>,329.02760748400004,5,3,3.300300000000001,yes
25,CHEMBL193160,9.92,O=C(CCl)Nc1ccc2ncnc(Nc3cccc(I)c3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FD60>,437.97443668399995,4,2,4.155300000000002,yes
26,CHEMBL51853,9.89,Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FDD0>,315.01195742000004,5,2,3.113100000000001,yes
27,CHEMBL3892310,9.89,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC1C2COCC21,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FE40>,511.178645624,7,2,4.493400000000002,yes
28,CHEMBL54400,9.89,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FEB0>,329.02760748400004,5,2,3.5726000000000013,yes
29,CHEMBL3883534,9.85,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FF20>,372.078931588,5,2,4.299000000000002,yes
30,CHEMBL417478,9.8,C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x000001D69661FF90>,482.16332990800004,7,2,4.420900000000004,yes
31,CHEMBL4792967,9.77,C=CC(=O)Nc1cc(Nc2ncc(C(F)(F)F)c(-c3cn(C4COC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001D696635040>,609.267522608,9,2,5.562900000000006,no
32,CHEMBL418967,9.77,CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC,<rdkit.Chem.rdchem.Mol object at 0x000001D6966350B0>,415.08953904399993,5,1,5.713500000000004,yes
33,CHEMBL93032,9.77,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,<rdkit.Chem.rdchem.Mol object at 0x000001D696635120>,330.99563865999994,5,3,3.5471000000000017,yes
34,CHEMBL592617,9.77,N#CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635190>,381.022522104,5,2,3.988080000000002,yes
35,CHEMBL2031302,9.74,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC,<rdkit.Chem.rdchem.Mol object at 0x000001D696635200>,386.094581652,5,2,4.6891000000000025,yes
36,CHEMBL3910697,9.74,C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(Cl)cc3)nn21,<rdkit.Chem.rdchem.Mol object at 0x000001D696635270>,421.13055256,5,3,3.831900000000001,yes
37,CHEMBL4761468,9.74,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001D6966352E0>,525.28522336,8,2,5.307700000000005,no
38,CHEMBL166093,9.74,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635350>,389.0487368520001,7,4,2.2959999999999994,yes
39,CHEMBL166154,9.72,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001D6966353C0>,285.078123064,5,2,3.4635000000000007,yes
40,CHEMBL165864,9.72,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635430>,359.0381721680001,6,3,2.9351000000000003,yes
41,CHEMBL4776396,9.7,CCOc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x000001D6966354A0>,374.1742759440001,5,3,4.169100000000002,yes
42,CHEMBL4175024,9.7,OCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635510>,360.15862588000005,5,4,3.2627000000000006,yes
43,CHEMBL4164805,9.7,COc1cc(CO)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635580>,390.1691905640001,6,4,3.2713,yes
44,CHEMBL3753235,9.7,C=CC(=O)Nc1cccc(-n2c(=O)c(-c3ccccc3)cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,<rdkit.Chem.rdchem.Mol object at 0x000001D6966355F0>,587.264487916,9,2,5.076200000000004,no
45,CHEMBL4747958,9.7,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(S(=O)(=O)N(C)C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001D696635660>,592.258022632,10,2,3.6273000000000026,yes
46,CHEMBL437879,9.68,COc1cc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2cc1OC,<rdkit.Chem.rdchem.Mol object at 0x000001D6966356D0>,367.02906020399996,5,1,4.836500000000003,yes
47,CHEMBL161956,9.66,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635740>,373.0538222320001,6,2,2.9594000000000005,yes
48,CHEMBL4516232,9.66,Cn1ncc([N+](=O)[O-])c1C[N+](C)(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1.[Br-],<rdkit.Chem.rdchem.Mol object at 0x000001D6966357B0>,644.0494608920001,8,2,1.5528999999999993,yes
49,CHEMBL4439982,9.66,C[N+](C)(C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)Cc1ccc([N+](=O)[O-])cc1.[Br-],<rdkit.Chem.rdchem.Mol object at 0x000001D696635820>,640.043312892,6,2,2.819400000000001,yes
50,CHEMBL4527121,9.66,C[N+](C)(C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)Cc1ccccc1[N+](=O)[O-].[Br-],<rdkit.Chem.rdchem.Mol object at 0x000001D696635890>,640.043312892,6,2,2.819400000000001,yes
51,CHEMBL4473277,9.66,Cn1cc([N+](=O)[O-])nc1C[N+](C)(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1.[Br-],<rdkit.Chem.rdchem.Mol object at 0x000001D696635900>,644.0494608920001,8,2,1.5528999999999993,yes
52,CHEMBL4540138,9.66,Cn1c(C[N+](C)(C)C/C=C/C(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)ccc1[N+](=O)[O-].[Br-],<rdkit.Chem.rdchem.Mol object at 0x000001D696635970>,643.054211924,7,2,2.1578999999999997,yes
53,CHEMBL4560430,9.66,Cn1cnc([N+](=O)[O-])c1C[N+](C)(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1.[Br-],<rdkit.Chem.rdchem.Mol object at 0x000001D6966359E0>,644.0494608920001,8,2,1.5528999999999993,yes
54,CHEMBL4851176,9.64,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCN/C(=N\C#N)Nc4ccncc4)cc23)c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635A50>,520.2335221360001,8,3,4.846180000000004,yes
55,CHEMBL2031300,9.64,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635AC0>,468.12732152,6,2,3.7119000000000018,yes
56,CHEMBL127041,9.62,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635B30>,359.038172168,6,3,2.9351000000000003,yes
57,CHEMBL316064,9.62,COc1cc2ncnc(Nc3cccc(C(F)(F)F)c3)c2cc1OC,<rdkit.Chem.rdchem.Mol object at 0x000001D696635BA0>,349.10381134799997,5,1,4.409400000000002,yes
58,CHEMBL4862351,9.61,CCOC(=O)c1ccccc1Nc1nc(Nc2ccc(OCC(=O)N3CCOCC3)cc2)ncc1Cl,<rdkit.Chem.rdchem.Mol object at 0x000001D696635C10>,511.162246612,9,2,4.031500000000003,yes
59,CHEMBL328955,9.6,Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635C80>,270.067224032,4,2,3.609000000000001,yes
60,CHEMBL52913,9.6,C=CC(=O)Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635CF0>,324.07778871600004,4,2,4.151300000000002,yes
61,CHEMBL53426,9.6,Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635D60>,410.0603045800001,7,3,3.3035999999999994,yes
62,CHEMBL4796010,9.59,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1[S+]([O-])CCN(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001D696635DD0>,544.225659884,8,2,4.979100000000004,yes
63,CHEMBL3360608,9.59,C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635E40>,458.170253184,9,1,4.327200000000003,yes
